cid,MP
54682651,['169-171 °C']
41428,"['150.5 °C', '148-150 °C']"
18604,"['less than 68 °F (NTP, 1992)']"
24826,['480 °C (decomp)']
8458,['133.5 °C']
138,['157.5 °C']
15606,['-35 °C']
1050,"['165 °C', '165 °C']"
11597,"['-219.6 °F (USCG, 1999)', '-139.7 °C', '-140 °C', '-219.6 °F']"
5281078,"['93-94', '93-94 °C']"
7805,"['83.3 °F (NTP, 1992)', '28.5 °C']"
3037,"['351 to 352 °F (NTP, 1992)', '177-178 °C']"
9128,"['352 to 354 °F (NTP, 1992)', '178-179 °C']"
8367,['221']
8019,"['-121.2 °F (NTP, 1992)', '-85.1 °C', '-85.1 °C', '-85 °C', '-121 °F', '-121 °F']"
8076,"['-94 °F (NTP, 1992)', '-70 °C', '-70 °C', '-70 °C', '-70 °C', '-94 °F', '-130 °F']"
54744,['143 - 151 °C']
8846,"['-84.3 °F (NTP, 1992)', '-64.6 °C', '-64 °C', '-83 °F', '-83 °F']"
67184,"['173-175 °C (slight decomposition)', 'MP: 174 °C']"
11096,['62 - 64 °C']
5944,"['424 °F (EPA, 1998)', '218 °C']"
3613389,"['293 to 297 °F (anhydrous) (NTP, 1992)', '80-90 °C /Monohydrate/; 143-145 °C /Anhydrous/']"
65090,['251 - 252 °C']
6808,['137 °C']
73672,['176-179 °C']
7843,"['-217.1 °F (NTP, 1992)', '-138.3 °C', '-138 °C', '-217 °F', '-217 °F']"
6568,"['-175 °F (NIOSH, 2023)', '-114 °C', '-114.7 °C', '-115 °C', '-175 °F', '-175 °F']"
7719,"['less than -94 °F (USCG, 1999)']"
4875,"['1258 °F (USCG, 1999)', '681 °C']"
8879,['Freezing point: -4 °C']
6956,"['442 °F (decomposes) (NTP, 1992)', '228 °C, DECOMPOSES AT MELTING POINT', 'MP: 221-223 °C /COMMERCIAL GRADES/']"
12580,['21 - 22 °C']
3371,['133.5 °C']
7108,"['365.9 to 366.6 °F (NTP, 1992)', '185.1 °C', '185.1 °C', '365 °F', '365 °F']"
11807,"['89.6 °F (USCG, 1999)', '31 °C', '31 °C', '89.6 °F']"
91460,['205 °C']
5392,"['87 °F (NIOSH, 2023)', '30.0-30.5 °C', '30 °C', '87 °F', '87 °F']"
8133,"['-94 °F (NTP, 1992)', '-74.8 °C', '-74.8 °C', '-75 °C', '-107 °F', '-107 °F']"
7784,['-38 °C']
8326,"['491 to 494 °F (NTP, 1992)', '255-256.5 °C', '255 °C']"
6428,"['-33.5 °F (NTP, 1992)', '-36.22 °C', '-36 °C', '-33.5 °F', '-31 °F']"
7230,['104 °C (MIN)']
86422,['224 - 226 °C']
2355,"['370 °F (sublimes) (NTP, 1992)', '188 °C (sublimes)', '188 °C']"
23436,['-8 °C']
3054,['170.5 °C']
67069,['178 - 179 °C']
6944,"['14.9 °F (NTP, 1992)', '-9.55 °C (alpha-form); -3.85 °C (beta-form)', '-10 °C', '25 °F']"
10008,"['-42.2 °F (NTP, 1992)']"
5391,"['119-121 °C', '119 - 121 °C']"
11527,['-45.00 °C. @ 760.00 mm Hg']
31268,"['-57.79 °C', '-63 °C', '-63 °C']"
12025,"['25.0 °C', '23 °C', '25 °C']"
6838,"['151.7 °F (NTP, 1992)', '66.7 °C', '66.5 °C', '151.7 °F']"
6920,['9 °C']
31398,['150 °C']
8894,"['-45 °C', '-49.2 °C']"
6385,"['-89.5 °F (NTP, 1992)', '-72.65 °C']"
71360,['118-120 °C']
6815,['209 °C']
65036,['25 °C']
5481173,['103-113']
5324275,"['-21.1 °F (NTP, 1992)', '-29.5 °C']"
23663626,"['The white precipitate formed by acidifying with hydrochloric acid a 10 % (w/v) aqueous solution of the sodium derivative of methylp-hydroxybenzoate (using litmus paper as indicator) shall, when washed with water and dried at 80 °C for two hours, have a melting range of 125 °C to 128 °C']"
12775,['54 °C']
16073,['45-46 °C']
6212,"['-82.3 °F (EPA, 1998)', '-63.47 °C', '-63.2 °C', '-64 °C', '-82 °F', '-82 °F']"
2826,['98 °C']
5429,"['675 °F (NTP, 1992)', '357 °C', '357 °C', '357 °C']"
9037,"['57 to 68 °F (EPA, 1998)', '17 °C']"
5284604,"['248-249 °C', '248-249 °C (decomposes)', '248 - 249 °C']"
37517,"['approx 136 °C', '136 °C']"
11334,"['136 to 140 °F (NTP, 1992)', '58 °C']"
38078,"['Occurs in two steps 143-164 °C and 189-223 °C', 'Occurs in two steps: 289.4-327.2 °F, 372.2-433.4 °F']"
10340,"['856 °C', '851 °C']"
6503,['171-172 °C']
5362119,['148']
123630,['140-147']
6167,"['288 to 302 °F (EPA, 1998)', '150-160', '142-150 °C']"
47898,"['108 °C', '100-107 °C']"
8317,"['914 to 923 °F (decomposes) (NTP, 1992)']"
8094,"['16 °F (NTP, 1992)', '-7.17 °C', '-7.5 °C', '-7.5 °C']"
15546,"['206 °C', 'MELTING POINT: 185-195 °C /TECHNICAL PRODUCT/', 'Brown, almost odorless. MP: 198-202 °C /technical/']"
15422,"['-46 °F (NIOSH, 2023)', '-43 °C', '-43 °C', '-46 °F']"
439616,"['119 °C', '120 - 122 °C']"
11118,['49 °C']
8856,['81.5 °C']
6410,"['18 °F (NTP, 1992)', '-8 °C', 'MP: 6 °C', '-3 °C']"
6731,"['320 °F (Sublimes) (NTP, 1992)', '241 °C']"
70949,['100.00 to 103.00 °C. @ 760.00 mm Hg']
6950,"['100 to 108 °F (EPA, 1998)', '38-42 °C', '40 - 41 °C', '38-42 °C']"
7954,"['146 °C', '154 °C']"
61041,['< 25 °C']
